front;back;tags;section
Kristjan , Kristjani, Kristjanit;Kristjan (male name);;2
me (meie), me (meie), meid;we;;2
rebane, rebase, rebast;fox;;2
varem;earlier;;2
vist;probably, maybe, likely;;2
eesti keel, eesti keele, eesti keelt;Estonian (language);;2
Kas?;interrogative particle used in questions;;2
räägin;I speak;;2
Räägin küll.;Yes I do(lit I speak, yes.);;2
te (teie), te (teie), teid;you (plural);;2
sa;you (singular);;2
aga;but;;2
Aga sina?;What about you? (sing, informal);;2
inglise keel, inglise keele, inglise keelt;English;;2
ka;also, too, as well;;2
kahjuks;unfortunately;;2
sina;you (singular);;2
saan aru;I understand;;2
turist, turisti, turisti;tourist;;2
võõras, võõra, võõrast;stranger;;2
huvitav, huvitava, huvitavat;interesting;;2
Kui huvitav!;How interesting!;;2
läti keel, läti keele, läti keelt;Latvian;;2
Oskan küll.;I do indeed.;;2
Tõesti?;Really?;;2
minu;my;;2
nimi, nime, nime;name;;2
Tiia, Tiia, Tiiat;Tiia (female name);;2
üli/õpilane, üli/õpilase, üli/õpilast;student;;2
Kristofer, Kristoferi, Kristoferit;Kristofer (male name);;2
Kuule!;Listen!;;2
Liisa, Liisa, Liisat;Liisa (female name);;2
Mattias, Mattiase, Mattiast;Mattias (male name);;2
sinu;your, yours;;2
su;your, yours;;2
ilus, ilusa, ilusat;beautiful, pretty,handsome, nice;;2
Johannes, Johannese, Johannest;Johannes (male name);;2
Marianne, Marianne, Mariannet;Marianne (female name);;2
Mhmh.;Mhm.;;2
nii;so, such;;2
Nii ilus nimi!;Such a beautiful name!;;2
ees/nimi, ees/nime, ees/nime;first name;;2
Kuidas?;What?;;2
number, numbri, numbrit;number;;2
perekonna/nimi, perekonna/nime, perekonna/nime;surname, family name;;2
dokumendid;documents;;2
Jaana, Jaana, Jaanat;Jaana (female name);;2
Kes?;Who?;;2
lind, linnu, lindu;bird;;2
Ahah.;OK, I see, aha;;2
Ivan, Ivani, Ivani;Ivan (male name);;2
kahe e-ga;"with two "" e""-s";;2
Lena, Lena, Lenat;Lena (female name);;2
lihtsalt;just, simply;;2
ühe e-ga;"with one "" e""";;2
põder, põdra, põtra;moose;;2
giid, giidi, giidi;tourist guide;;2
ikka;of course, always;;2
jaam, jaama, jaama;station;;2
jama, jama, jama;trouble, nonsense;;2
Ongi nii või?;Is that so?;;2
hästi;fine, alright;;3
Jaanus, Jaanuse, Jaanust;Jaanus (male name);;3
Kuidas läheb?;How are you?;;3
Tänan küsimast!;Thanks for asking!;;3
Annika, Annika, Annikat;Annika (female name);;3
Leili, Leili, Leilit;Leili (female name);;3
normaalselt;fine, OK (lit normally);;3
arst, arsti, arsti;doctor;;3
elama, ela/da, ela/n;to live;;3
kuidas;how;;3
Kuidas elate?;How are you (pl, formal)? (lit How are you living?);;3
patsient, patsiendi, patsienti;patient;;3
suurepäraselt;wonderfully;;3
halvasti;badly, poorly;;3
Kuidas sul läheb?;How are you?;;3
Mikk, Miku, Mikku;Mikk (male name);;3
paha;bad;;3
Paha lugu!;I'm sorry to hear that! (lit Bad story!);;3
pea, pea, pead;head;;3
valutama, valuta/da, valuta/b;to ache, to hurt;;3
Aleks, Aleksi, Aleksit;Aleks (male name);;3
kus;where;;3
Kus sa oled?;Where are you?;;3
Leena, Leena, Leenat;Leena (female name);;3
praegu;now, at the moment;;3
Tallinn , Tallinna, Tallinna;Tallinn;;3
Tallinnas;in Tallinn;;3
vahva, vahva, vahvat;great, cool;;3
Väga vahva!;That's great! (lit very great);;3
Hallo!;Hello! (on the phone);;3
hetkel;now, at the moment;;3
homme;tomorrow;;3
Mari, Mari, Marit;Mari (female name);;3
Mihkel, Mihkli, Mihklit;Mihkel (male name);;3
siin;here;;3
Soome, Soome, Soomet;Finland;;3
Soomes;in Finland;;3
Diana, Diana, Dianat;Diana (female name);;3
Eesti , Eesti, Eestit;Estonia;;3
Eestis;in Estonia;;3
Jürgen, Jürgeni, Jürgenit;Jürgen (male name);;3
Vene/maa , Vene/maa, Vene/maad;Russia;;3
Vene/maal;in Russia;;3
härra, härra, härrat;mister;;3
Kus te olete?;Where are you? (pl, formal);;3
Ma tulen kohe.;I will come at once.;;3
ootama, ooda/ta, oota/n;to wait;;3
Pagan küll!;Damn!;;3
sekretär, sekretäri, sekretäri;secretary;;3
Silla/mäe , Silla/mäe, Silla/mäed;Sillamäe (Estonian place name);;3
Silla/mäel;in Sillamäe;;3
täna;today;;3
Aafrika , Aafrika, Aafrikat;Africa;;3
Aafrikas;in Africa;;3
Kas Teele kuuleb?;Is Teele there? (lit Is Teele hearing?);;3
kuulma, kuul/da, kuule/n;to hear;;3
Ma ei saa praegu rääkida.;I can't speak right now.;;3
Raul, Rauli, Rauli;Raul (male name);;3
Teele, Teele, Teelet;Teele (female name);;3
Väga lahe!;That's very cool!;;3
aadress, aadressi, aadressi;address;;3
kesk/linn , kesk/linna, kesk/linna;city centre;;3
kesk/linnas;in the city centre;;3
Kus sa elad?;Where do you live? (sing, informal);;3
Ma viin su ära.;I'll take you there.;;3
maan/tee, maan/tee, maan/teed;road, highway;;3
Mis su aadress on?;What is your address?;;3
Narva , Narva, Narvat;Narva (Estonian place name);;3
Narva maan/tee;Narva Road;;3
Jaanika, Jaanika, Jaanikat;Jaanika (female name);;3
Kaire, Kaire, Kairet;Kaire (female name);;3
maja, maja, maja;house, building;;3
Musta/mäe, Musta/mäe, Musta/mäed;Mustamäe;;3
Musta/mäel;in Mustamäe;;3
Siin majas või?;In this house, I assume?;;3
Tohoh!;Oho!;;3
puies/tee, puies/tee, puies/teed;road, avenue;;3
sõprus , sõpruse, sõprust;friendship;;3
Sõpruse puies/tee;Sõpruse Road;;3
takso/juht, takso/juhi,takso/juhti;taxi driver;;3
järgmine, järgmise, järgmist;next;;3
Järgmine palun.;Next, please.;;3
Kalda tee;Kalda Road;;3
tee, tee, teed;tea, also: road, path;;3
Hmm.;Hm.;;3
ilusad roosid;beautiful roses;;3
Kuidas palun?;Excuse me?;;3
lille/müüja, lille/müüja, lille/müüjat;florist;;3
Miks ka mitte?;Why not?;;3
punane, punase, punast;red;;3
roos, roosi, roosi;rose;;3
soovima, soovi/da, soovi/n;to wish, to want;;3
Soovite?;Would you like some? (lit you (pl, formal) wish?);;3
Karoliina, Karoliina, Karoliinat;Karoliina (female name);;3
kiiresti;fast, quickly;;3
liiga;too;;3
liiga kiiresti;too fast;;3
Me ei saa aru.;I don't understand.;;3
raamat, raamatu, raamatut;book;;3
uus, uue, uut;new;;3
komm , kommi, kommi;candy, sweet;;3
kommid;candy, sweets;;3
kompvek, kompveki, kompvekki;candy, sweets;;3
kompvekid;candy, sweets;;3
Mida see sõna tähendab?;What does this word mean?;;3
Mida tähendab kompvekid?;"What does "" kompvekid"" mean?";;3
Mida?;What?;;3
tähendama, tähenda/da, tähenda/b;to mean;;3
aeglasemalt;slower;;3
Kas nii on õigesti?;Is this correct?;;3
Kirjuta üles!;Write [this] down!;;3
null, nulli, nulli;zero;;3
Oota!;Wait! (sing, informal);;3
viis/kümmend, viie/kümne, viit/kümmend;fifty;;3
viis/kümmend seitse;fifty seven;;3
viis/kümmend üks;fifty one;;3
viis/sada üheksa;five hundred and nine;;3
õigesti;correct;;3
üles kirjutama, üles kirjuta/da, kirjuta/n üles;to write down;;3
Ütle uuesti!;Say again! (sing, informal);;3
Korda palun!;Repeat, please! (sing, informal);;3
kordama, korra/ta, korda/n;to repeat, to go over, to revise;;3
Ma ei kuule midagi.;I can't hear anything! (lit I don't hear anything!);;3
midagi;something, anything;;3
palju;many, a lot of;;3
Palju õnne sünnipäevaks!;Happy birthday! (lit Lots of luck fo birthday!);;3
Sirje, Sirje, Sirjet;Sirje (female name);;3
sünni/päev, sünni/päeva, sünni/päeva;birthday;;3
Vello, Vello, Vellot;Vello (male name);;3
õnn, õnne, õnne;luck, happiness;;3
kell kuus;at six o'clock;;4
Kohtumiseni!;So long! See you!;;4
kõrval;by, next to;;4
külla tulema, külla tul/la, tule/n külla;to visit;;4
Ma ei tea.;I don't know.;;4
Millal?;When?;;4
Näeme!;See you!;;4
nägema, näh/a, näe/n;to see;;4
pargi kõrval;by the park, next to the park;;4
park, pargi, parki;park;;4
reede õhtul;Friday evening;;4
teadma, tead/a, tea/n;to know;;4
Tore!;Great!;;4
Tule külla!;Come visit me!;;4
valges majas;in the white house;;4
Aitäh kutsumast!;Thank you for the invitation!;;4
hea meelega;with pleasure;;4
Just!;Exactly!;;4
Katrin, Katrini, Katrinit;Katrin (female name);;4
kell viis;five o'clock;;4
kino, kino, kino;cinema, movie theatre;;4
kino taga;behind the cinema;;4
koht, koha, kohta;place, seat;;4
kutsuma, kutsu/da, kutsu/n;to invite, to call, to ask;;4
laupäeval;on Saturday;;4
Mis kell?;At what time?;;4
niisama;for no particular reason;;4
näiteks;for instance;;4
nüüd;now;;4
selles kollases majas;in this yellow house;;4
sul on;you (sing) have;;4
taga;behind;;4
Teeme nii!;Alright! (lit Let's do like that.);;4
uues kohas;in a new place;;4
Viivika, Viivika, Viivikat;Viivika (female name);;4
Aksel, Akseli, Akselit;Aksel (male name);;4
hotell, hotelli, hotelli;hotel;;4
Kalle, Kalle, Kallet;Kalle (male name);;4
kunagi;sometime, ever;;4
Ma ei saa.;I can't.;;4
Mida sina teed?;What are you (sing) doing?;;4
Miks mitte!;Why not!;;4
Mitte midagi erilist.;Nothing muchNothing special.;;4
olen vaba;I'm free;;4
selle uue hotelli vastas;opposite the new hotel;;4
tegema, teh/a, tee/n;to do;;4
tänama, täna/da, täna/n;to thank;;4
vastas;opposite;;4
kell seitse;at seven o'clock;;4
Ootan sind!;I'll be expecting you!;;4
plaan, plaani, plaani;plan;;4
poeg, poja, poega;son;;4
söök, söögi, sööki;food, meal;;4
teine, teise, teist;other, second;;4
teised plaanid;other plans;;4
võib-olla;maybe;;4
armastama, armasta/da, armasta/n;to love;;4
jope, jope, jopet;jacket, coat;;4
Kas sa armastad mind?;Do you love me?;;4
need, nende, neid;these;;4
sisse tulema, sisse tul/la, tule/n sisse;to come in;;4
sulle;for you;;4
Tule sisse!;Come in!;;4
Võta jope ära!;Take your jacket off!;;4
ära võtma, ära võt/ta, võta/n ära;to take off, to get;;4
Astu sisse!;Come in! (lit Step in!);;4
king, kinga, kinga;shoe;;4
kingad;shoes;;4
mesi, mee, mett;honey;;4
purk, purgi, purki;jar;;4
purk mett;a jar of honey;;4
sisse astuma, sisse astu/da, astu/n sisse;to come in, to step in;;4
suss, sussi, sussi;slipper;;4
sussid;slippers;;4
Tere tulemast!;Welcome!;;4
Tule edasi!;Come in! (lit Come forward!);;4
eks;right , yes, indeed, OK;;4
jajah;right, yes;;4
ohhoo;oho;;4
Pane jope siia.;Put your jacket here.;;4
pudel, pudeli, pudelit;bottle;;4
pudel veini;a bottle of wine;;4
vein, veini, veini;wine;;4
Võta palun.;Please take;;4
võtma, võt/ta, võta/n;to take;;4
Kes seal on?;Who is it? (lit Who is there?);;4
lill, lille, lille;flower;;4
lilled;flowers;;4
ise, enda, end(ennast);yourself, herself, himself;;4
kallis, kalli, kallist;dear;;4
Mida sa ise jooksid?;What would you like to drink yourself?;;4
pakkuma, pakku/da, paku/n;to offer;;4
Kas sa tahaksid kooki?;Would you like some cake?;;4
kook, koogi, kooki;cake;;4
maitsev, maitsva, maitsvat;tasty;;4
muidugi;of course;;4
pigem;rather;;4
tahtma, taht/a, taha/n;to want, to wish;;4
Väga maitsev.;very tasty.;;4
Aitab küll!;That's enough!;;4
Sinu terviseks!;Cheers! (lit To your health!);;4
Terviseks!;Cheers!;;4
täitsa;quite;;4
valama, vala/da, vala/n;to pour;;4
Võtaks veel!;I would like some more.;;4
jaksama, jaksa/ta, jaksa/n;to be able to, to can;;4
Kas sa tahaksid midagi muud?;Would you like something else?;;4
Kas sulle ei maitse?;Don't you like it?;;4
kõht, kõhu, kõhtu;stomach;;4
Kõht on täis.;I'm full(lit Stomach is full.);;4
Ma rohkem ei soovi.;I don't want any more;;4
Ma tõesti rohkem ei jaksa.;I really can't eat any more.;;4
maitsema, maits/ta, maitse/b;to like (food);;4
midagi muud;something else;;4
tõesti;really;;4
täis;full;;4
Võta ikka!;Please take [some]!;;4
Võta veel!;Take some more!;;4
baari/daam, baari/daami, baari/daami;barmaid;;4
euro, euro, eurot;euro;;4
gaas, gaasi, gaasi;gas;;4
gaasiga;with gas;;4
gaasita;without gas;;4
ilma;without;;4
ilma gaasita;without gas;;4
kaart, kaardi, kaarti;(bank) card;;4
Kas see on kõik?;Will that be all?;;4
koor, koore, koort;cream;;4
koorega kohv;coffee with cream;;4
kõik, kõige, kõike;all, everything;;4
maksan kaardiga;I will pay by (bank) card;;4
maksma, maks/ta, maksa/n;to pay, to cost;;4
Mida teile?;What will you have? (lit What for you (pl, formal)?;;4
mineraal/vesi, mineraal/vee,mineraal/vett;mineral water;;4
PIN-kood, PIN-koodi, PIN-koodi;PIN-code;;4
pudel mineraal/vett;a bottle of mineral water;;4
sent, sendi, senti;cent;;4
teile;for you, to you (pl, formal);;4
ette/kandja, ette/kandja, ette/kandjat;waitress;;4
Kas veel midagi?;Anything else?;;4
kuulama, kuula/ta, kuula/n;to listen to;;4
Ma kuulan teid.;I'm listening to you.;;4
moos, moosi, moosi;jam;;4
pann/koogid moosiga;pancakes with jam;;4
pann/kook, pann/koogi,pann/kooki;pancake;;4
See on kõik.;That's all.;;4
tass, tassi, tassi;cup;;4
tass rohelist teed;a cup of green tea;;4
klaas, klaasi, klaasi;glass;;4
klaas valget veini;a glass of white wine;;4
See teeb kokku ...;"That comes to a total…; This makes...";;4
tass kohvi;a cup of coffee;;4
täpselt;exactly;;4
hele, heleda, heledat;light (in colour);;4
hele õlu;light beer, ale;;4
väike(ne), väik(e)se, väikest;small;;4
õlu, õlle, õlut;beer;;4
ainult;only;;5
ju;;;5
Kah tore ju!;That's also nice!;;5
Kas sul ei ole?;Don't you have?;;5
kass , kassi, kassi;cat;;5
kassid;cats;;5
mul (minul) on;I have;;5
neil (nendel) on;they have;;5
nojah;well, yes;;5
pere, pere, peret;family;;5
tore, toreda, toredat;nice, great;;5
Vaata!;Look!;;5
vaatama, vaada/ta, vaata/n;to look;;5
abi/elu, abi/elu, abi/elu;marriage;;5
armas, armsa, armsat;lovely, sweet, cute;;5
eelmine, eelmise, eelmist;previous;;5
eelmisest abi/elust;from previous marriage;;5
kodu, kodu, kodu;home;;5
lapsed;children;;5
mehel on;the man has;;5
näitama, näida/ta, näita/n;to show;;5
suvel;in the summer;;5
sümpaatne, sümpaatse, sümpaatset;attractive, nice;;5
tal on;he/she has;;5
tütar, tütre, tütart;daughter;;5
Viljandi/maa , Viljandi/maa, Viljandi/maad;Viljandi County;;5
Viljandi/maal;in Viljandi County;;5
mul ei ole;I don't have;;5
Must/vee , Must/vee, Must/veed;Mustvee (Estonian place name);;5
Must/vees;in Mustvee;;5
oma maja;one's own house;;5
poiss, poisi, poissi;boy;;5
sageli;often;;5
seal;there;;5
surnud;dead;;5
suvi, suve, suve;summer;;5
tüdruk, tüdruku, tüdrukut;girl;;5
vana/ema, vana/ema, vana/ema;grandmother;;5
vana/isa, vana/isa, vana/isa;grandfather;;5
aasta, aasta, aastat;year;;5
abi/elus;married;;5
Arvata võib;One would assume so.;;5
Mart, Mardi, Marti;Mart (male name);;5
mitu, mitme, mitut;several;;5
mitu aastat;several years;;5
muide;by the way;;5
Mul on hea meel.;I'm glad;;5
tubli, tubli, tublit;good, fine, great, hard-working;;5
Vaata siis!;I see!;;5
õnnelik, õnneliku, õnnelikku;happy, lucky, cheerful;;5
Martin, Martini, Martinit;Martin (male name);;5
Merike(ne), Merikese, Merikest;Merike(ne) (female name);;5
Milline?;Which? What kind of?;;5
Mitu?;How many?;;5
Nii palju!;That many!;;5
onu, onu, onu;uncle;;5
tädi, tädi, tädi;aunt;;5
vend, venna, venda;brother;;5
õde, õe, õde;sister;;5
Ahsoo!;Aha!;;5
Ervin, Ervini, Ervinit;Ervin (male name);;5
lapse/laps, lapse/lapse, lapse/last;grandchild;;5
Las ma mõtlen.;Let me think.;;5
mõtlema , mõtel/da (mõel/da), mõtle/n;to think;;5
Tõnis, Tõnise, Tõnist;Tõnis (male name);;5
vastu/pidi;on the contrary;;5
Või nii;I see.;;5
kaksikud;twins;;5
sama/sugune, sama/suguse, sama/sugust;identical;;5
Toomas, Toomase, Toomast;Toomas (male name);;5
Vaike, Vaike, Vaiket;Vaike (female name);;5
ameeriklane, ameeriklase, ameeriklast;American;;5
Kust teie pärit olete?;Where are you from?;;5
Kust?;Where from?;;5
pärit olema, pärit ol/la, ole/n pärit;to come from;;5
Rootsist;from Sweden;;5
Susan, Susani, Susanit;Susan (female name);;5
Teil on õigus;You are right.;;5
Vene/maalt;from Russia;;5
õppima, õppi/da, õpi/n;to study, to learn;;5
Andres, Andrese, Andrest;Andres (male name);;5
Andresest kaks aastat noorem;two years younger than Andres;;5
just;exactly, just;;5
Just nimelt!;Precisely!;;5
Kui vana?;How old?;;5
kõige noorem;the youngest;;5
kõige vanem;the eldest;;5
Margus, Marguse, Margust;Margus (male name);;5
noorem kui mina;younger than me;;5
Sa oled kolm/kümmend viis.;You are thirty five.;;5
sama vana kui mina;the same age as me;;5
ta on … aastat vana;he/she is …years old;;5
arvama, arva/ta, arva/n;to think, to guess, to reckon;;5
et;that;;5
ja-jaa;well yes;;5
ma arvasin;I thought;;5
Mul on pildid üleval;I've uploaded pictures;;5
palju vanem;much older;;5
pilt, pildi, pilti;picture;;5
pool/vend, pool/venna,pool/venda;half-brother, step-brother;;5
pool/vennad;half-brothers, step-brothers;;5
põnev, põneva, põnevat;exciting;;5
ta on minust … aastat vanem;He/She is … years older than me;;5
uskumatu;unbelievable;;5
vennad;brothers;;5
Viktoria, Viktoria, Viktoriat;Viktoria (female name);;5
geograafia/õpetaja, geograafia/õpetaja, geograafia/õpetajat;geography teacher;;5
geograafia/õpetajana;as geography teacher;;5
Kellena?;As who?;;5
koolis;at school;;5
matemaatika/õpetaja, matemaatika/õpetaja, matemaatika/õpetajat;maths teacher;;5
matemaatika/õpetajana;as maths teacher;;5
töötama, tööta/da, tööta/n;to work;;5
Andrei, Andrei, Andreid;Andrei (male name);;5
ehitaja, ehitaja, ehitajat;construction-worker;;5
ekskavaatori/juhina;as excavator driver;;5
ekskavaatori/juht, ekskavaatori/juhi, ekskavaatori/juhti;excavator driver;;5
Hannes, Hannese, Hannest;Hannes (male name);;5
Irina, Irina, Irinat;Irina (female name);;5
juba mitu aastat;already for several years;;5
kaevur, kaevuri, kaevurit;coal miner;;5
kaevurina;as coal miner;;5
karjäär , karjääri, karjääri;open-pit mine;;5
karjääris;in an open-pit mine;;5
Liina, Liina, Liinat;Liina (female name);;5
Marina, Marina, Marinat;Marina (female name);;5
med/õde, med/õe, med/õde;nurse;;5
med/õena;as nurse;;5
müüja , müüja, müüjat;shop assistant;;5
müüjana;as shop assistant;;5
nagu;as;;5
Oleg, Olegi, Olegi;Oleg (male name);;5
raamatu/pidaja, raamatu/pidaja, raamatu/pidajat;book-keeper;;5
raamatu/pidajana;as book-keeper;;5
Sander, Sandri, Sandrit;Sander (male name);;5
Temal ei ole Eestis tööd.;He/She doesn't have job in Estonia.;;5
töö, töö, tööd;work, job;;5
töötu, töötu, töötut;unemployed;;5
veduri/juhina;as locomotive engineer;;5
veduri/juht, veduri/juhi,veduri/juhti;locomotive engineer;;5
Ago, Ago, Agot;Ago (male name);;5
arvuti, arvuti, arvutit;computer;;5
IT-spetsialist, IT-spetsialisti, IT-spetsialisti;IT specialist;;5
Jüri, Jüri, Jürit;Jüri (male name);;5
Ma ei tea täpselt.;I don't know for sure.;;5
Mis see tähendab?;What does it mean?;;5
Mängib arvutiga.;He/She plays on the computer(lit plays with the computer);;5
mängima, mängi/da, mängi/n;to play;;5
takso/juhina;as taxi driver;;5
tööd tegema, tööd teh/a, tee/n tööd;to do work;;5
Äge!;Cool!;;5
hommiku/söök, hommiku/söögi,hommiku/sööki;breakfast;;6
hommikul;in the morning;;6
juust, juustu, juustu;cheese;;6
juustu/leib, juustu/leiva,juustu/leiba;cheese sandwich;;6
kala/mari, kala/marja, kala/marja;caviar;;6
kõike muud;anything else, everything else;;6
leib, leiva, leiba;bread (made of rye);;6
liha, liha, liha;meat;;6
muna, muna, muna;egg;;6
muu, muu, muud;else, other;;6
Oeh!;Oh well!;;6
sink, singi, sinki;ham;;6
taime/toitlane, taime/toitlase, taime/toitlast;vegetarian;;6
vorst , vorsti, vorsti;sausage;;6
vorsti/leib, vorsti/leiva,vorsti/leiba;sausage sandwich;;6
Head isu!;Enjoy your meal! (lit Bon appétit!);;6
jogurt, jogurti, jogurtit;yoghurt;;6
puder, pudru, putru;porridge;;6
sool, soola, soola;salt;;6
Tulge sööma!;Come eat! (pl);;6
Ulata soola!;Pass the salt! (sing, informal);;6
ulatama, ulata/da, ulata/n;to pass;;6
apelsin, apelsini, apelsini;orange;;6
apelsini/mahl, apelsini/mahla, apelsini/mahla;orange juice;;6
hapu, hapu, haput;sour;;6
jook, joogi, jooki;drink;;6
jõhvika/jook, jõhvika/joogi,jõhvika/jooki;cranberry drink;;6
jõhvikas, jõhvika, jõhvikat;cranberry;;6
kasvama, kasva/da, kasva/n;to grow;;6
kirsi/mahl, kirsi/mahla, kirsi/mahla;cherry juice;;6
kirss, kirsi, kirssi;cherry;;6
kodu/maine, kodu/maise, kodu/maist;locally grown, domestic;;6
lahja, lahja, lahjat;weak, lean;;6
magus, magusa, magusat;sweet;;6
magusam;sweeter;;6
mahl, mahla, mahla;juice;;6
midagi kodu/maist;something locally grown;;6
Mis mahla?;What juice?;;6
Näe!;Look! See!;;6
ostma, ost/a, osta/n;to buy;;6
ploom , ploomi, ploomi;plum;;6
ploomi/mahl, ploomi/mahla, ploomi/mahla;plum juice;;6
õun, õuna, õuna;apple;;6
õuna/mahl, õuna/mahla, õuna/mahla;apple juice;;6
Heldeke!;Oh dear!;;6
kohu/piim, kohu/piima, kohu/piima;curd, cottage cheese;;6
kohu/piima/kook, kohu/piima/koogi,kohu/piima/kooki;cheese cake;;6
midagi soolast;something savoury;;6
